,ID,Name,Lower_FB,Upper_FB,Active_in_FBA,Include
286,EX_k_e,K+ exchange,-999999,999999,TRUE,TRUE
287,EX_kdo2lipid4_e,KDO(2)-lipid IV(A) exchange,0,999999,FALSE,FALSE
288,EX_lac__D_e,D-lactate exchange,0,999999,FALSE,FALSE
289,EX_lac__L_e,L-Lactate exchange,0,999999,FALSE,FALSE
65,EX_LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange",0,999999,FALSE,FALSE
61,EX_LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange",0,999999,FALSE,FALSE
290,EX_lcts_e,Lactose exchange,0,999999,FALSE,FALSE
291,EX_leu__L_e,L-Leucine exchange,0,999999,FALSE,TRUE
293,EX_lipa_cold_e,Cold adapted KDO(2)-lipid (A) exchange,0,999999,FALSE,FALSE
292,EX_lipa_e,KDO(2)-lipid (A) exchange,0,999999,FALSE,FALSE
294,EX_lys__L_e,L-Lysine exchange,0,999999,FALSE,FALSE
295,EX_lyx__L_e,L-Lyxose exchange,0,999999,FALSE,FALSE
296,EX_mal__D_e,D-Malate exchange,0,999999,FALSE,FALSE
297,EX_mal__L_e,L-Malate exchange,0,999999,FALSE,FALSE
298,EX_malt_e,Maltose exchange,0,999999,FALSE,FALSE
94,EX_malthx_e,Maltohexaose exchange,0,999999,FALSE,FALSE
96,EX_maltpt_e,Maltopentaose exchange,0,999999,FALSE,FALSE
97,EX_malttr_e,Maltotriose exchange,0,999999,FALSE,FALSE
101,EX_maltttr_e,Maltotetraose exchange,0,999999,FALSE,FALSE
105,EX_man_e,D-Mannose exchange,0,999999,FALSE,FALSE
103,EX_man6p_e,D-Mannose 6-phosphate exchange,0,999999,FALSE,FALSE
106,EX_manglyc_e,2(alpha-D-Mannosyl)-D-glycerate exchange,0,999999,FALSE,FALSE
109,EX_melib_e,Melibiose exchange,0,999999,FALSE,FALSE
111,EX_met__D_e,D-Methionine exchange,0,999999,FALSE,TRUE
114,EX_met__L_e,L-Methionine exchange,0,999999,FALSE,FALSE
116,EX_metsox_R__L_e,L-methionine-R-sulfoxide exchange,0,999999,FALSE,FALSE
118,EX_metsox_S__L_e,L-Methionine S-oxide exchange,0,999999,FALSE,FALSE
119,EX_mg2_e,Mg exchange,-999999,999999,TRUE,TRUE
128,EX_minohp_e,Myo-Inositol hexakisphosphate exchange,0,999999,FALSE,FALSE
129,EX_mmet_e,S-Methyl-L-methionine exchange,0,999999,FALSE,FALSE
130,EX_mn2_e,Mn2+ exchange,-999999,999999,TRUE,TRUE
131,EX_mnl_e,D-Mannitol exchange,0,999999,FALSE,TRUE
132,EX_mobd_e,Molybdate exchange,-999999,999999,TRUE,TRUE
133,EX_mso3_e,Methanesulfonate exchange,0,999999,FALSE,FALSE
136,EX_n2o_e,Nitrous oxide exchange,0,999999,FALSE,FALSE
137,EX_na1_e,Sodium exchange,-999999,999999,FALSE,FALSE
143,EX_nac_e,Nicotinate exchange,0,999999,FALSE,FALSE
144,EX_nh4_e,Ammonia exchange,-999999,999999,TRUE,TRUE
145,EX_ni2_e,Ni2+ exchange,0,999999,FALSE,FALSE
146,EX_nmn_e,NMN exchange,0,999999,FALSE,FALSE
152,EX_no_e,Nitric oxide exchange,0,999999,FALSE,FALSE
148,EX_no2_e,Nitrite exchange,0,999999,FALSE,FALSE
150,EX_no3_e,Nitrate exchange,0,999999,FALSE,FALSE
153,EX_o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A exchange,0,999999,FALSE,FALSE
158,EX_o2_e,O2 exchange,-18.5,999999,TRUE,TRUE
160,EX_o2s_e,Superoxide anion exchange,0,999999,FALSE,FALSE
161,EX_ocdca_e,Octadecanoate (n-C18:0) exchange,0,999999,FALSE,FALSE
162,EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,0,999999,FALSE,FALSE
163,EX_octa_e,Octanoate (n-C8:0) exchange,0,999999,FALSE,FALSE
167,EX_orn_e,Ornithine exchange,0,999999,FALSE,FALSE
169,EX_orot_e,Orotate exchange,0,999999,FALSE,FALSE
170,EX_pacald_e,Phenylacetaldehyde exchange,0,999999,FALSE,FALSE
171,EX_peamn_e,Phenethylamine exchange,0,999999,FALSE,FALSE
172,EX_phe__L_e,L-Phenylalanine exchange,0,999999,FALSE,TRUE
176,EX_pheme_e,Protoheme exchange,0,999999,FALSE,FALSE
177,EX_pi_e,Phosphate exchange,-999999,999999,TRUE,TRUE
181,EX_pnto__R_e,(R)-Pantothenate exchange,0,999999,FALSE,FALSE
182,EX_ppa_e,Propionate exchange,0,999999,FALSE,FALSE
183,EX_ppal_e,Propanal exchange,0,999999,FALSE,FALSE
186,EX_pppn_e,Phenylpropanoate exchange,0,999999,FALSE,FALSE
188,EX_ppt_e,Phosphonate exchange,0,999999,FALSE,FALSE
189,EX_pro__L_e,L-Proline exchange,0,999999,FALSE,TRUE
193,EX_progly_e,L-Prolinylglycine exchange,0,999999,FALSE,FALSE
195,EX_psclys_e,Psicoselysine exchange,0,999999,FALSE,FALSE
196,EX_pser__L_e,O-Phospho-L-serine exchange,0,999999,FALSE,FALSE
203,EX_ptrc_e,Putrescine exchange,0,999999,FALSE,FALSE
204,EX_pyr_e,Pyruvate exchange,0,999999,FALSE,FALSE
205,EX_r5p_e,Alpha-D-Ribose 5-phosphate exchange,0,999999,FALSE,FALSE
206,EX_rib__D_e,D-Ribose exchange,0,999999,FALSE,FALSE
207,EX_rmn_e,L-Rhamnose exchange,0,999999,FALSE,FALSE
208,EX_sbt__D_e,D-Sorbitol exchange,0,999999,FALSE,FALSE
215,EX_ser__D_e,D-Serine exchange,0,999999,FALSE,FALSE
216,EX_ser__L_e,L-Serine exchange,0,999999,FALSE,FALSE
217,EX_skm_e,Shikimate exchange,0,999999,FALSE,FALSE
218,EX_so2_e,Sulfur dioxide exchange,0,999999,FALSE,FALSE
219,EX_so3_e,Sulfite exchange,0,999999,FALSE,FALSE
221,EX_so4_e,Sulfate exchange,-999999,999999,TRUE,TRUE
222,EX_spmd_e,Spermidine exchange,0,999999,FALSE,FALSE
223,EX_succ_e,Succinate exchange,0,999999,FALSE,TRUE
224,EX_sucr_e,Sucrose exchange,0,999999,FALSE,TRUE
225,EX_sulfac_e,Sulfoacetate exchange,0,999999,FALSE,FALSE
227,EX_tartr__L_e,L-tartrate exchange,0,999999,FALSE,FALSE
228,EX_taur_e,Taurine exchange,0,999999,FALSE,FALSE
229,EX_tcynt_e,Thiocyanate exchange,0,999999,FALSE,FALSE
230,EX_thm_e,Thiamin exchange,0,999999,FALSE,FALSE
231,EX_thr__L_e,L-Threonine exchange,0,999999,FALSE,TRUE
232,EX_thrp_e,L-Threonine O-3-phosphate exchange,0,999999,FALSE,FALSE
233,EX_thym_e,Thymine exchange,0,999999,FALSE,FALSE
234,EX_thymd_e,Thymidine exchange,0,999999,FALSE,FALSE
235,EX_tma_e,Trimethylamine exchange,0,999999,FALSE,FALSE
237,EX_tmao_e,Trimethylamine N-oxide exchange,0,999999,FALSE,FALSE
238,EX_tre_e,Trehalose exchange,0,999999,FALSE,FALSE
239,EX_trp__L_e,L-Tryptophan exchange,0,999999,FALSE,TRUE
241,EX_tsul_e,Thiosulfate exchange,0,999999,FALSE,FALSE
242,EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,0,999999,FALSE,FALSE
243,EX_ttdcea_e,Tetradecenoate (n-C14:1) exchange,0,999999,FALSE,FALSE
173,EX_tungs_e,Tungstate exchange,-999999,999999,FALSE,FALSE
175,EX_tym_e,Tyramine exchange,0,999999,FALSE,FALSE
178,EX_tyr__L_e,L-Tyrosine exchange,0,999999,FALSE,FALSE
180,EX_tyrp_e,Phosphotyrosine exchange,0,999999,FALSE,FALSE
184,EX_uacgam_e,UDP-N-acetyl-D-glucosamine exchange,0,999999,FALSE,FALSE
185,EX_udpacgal_e,UDP-N-acetyl-D-galactosamine exchange,0,999999,FALSE,FALSE
190,EX_udpg_e,UDPglucose exchange,0,999999,FALSE,FALSE
191,EX_udpgal_e,UDPgalactose exchange,0,999999,FALSE,FALSE
192,EX_udpglcur_e,UDP-D-glucuronate exchange,0,999999,FALSE,FALSE
197,EX_ump_e,UMP exchange,0,999999,FALSE,FALSE
198,EX_ura_e,Uracil exchange,0,999999,FALSE,FALSE
199,EX_urea_e,Urea exchange,0,999999,FALSE,FALSE
200,EX_uri_e,Uridine exchange,0,999999,FALSE,FALSE
201,EX_val__L_e,L-Valine exchange,0,999999,FALSE,TRUE
202,EX_xan_e,Xanthine exchange,0,999999,FALSE,FALSE
209,EX_xmp_e,Xanthosine 5'-phosphate exchange,0,999999,FALSE,FALSE
210,EX_xtsn_e,Xanthosine exchange,0,999999,FALSE,FALSE
212,EX_xyl__D_e,D-Xylose exchange,0,999999,FALSE,FALSE
213,EX_xylu__L_e,L-Xylulose exchange,0,999999,FALSE,FALSE
214,EX_zn2_e,Zinc exchange,-999999,999999,TRUE,TRUE
