ID,Activity
AS6TASE_HS1,0
NACHEX27e,0
GLCNACASE_HS2,0
GLCNACASE_HS3,0
GAM2STASE_HS3,0
GAM2STASE_HS1,0
GAM2STASE_HS2,0
CS4TASE,0
CS4TASE2,0
CS6TASE,0
IS2TASE,0
IS2TASE_HS1,0
AS3TASE_HS1,0
AS3TASE_HS2,0
IDOURASE,0
IDOURASE_HS1,0
IDOURASE_HS2,0
IDOURASE_HS3,0
IZPN,0
IG3PS,1
PRMICI,1
PRAMPC,1
PRATPP,1
HISTP,1
IGPDH,1
HSTPTr,2
HISTD,1
ATPPRT,1
CARNCNc,0
URCN,0
HISD,0
LACNTTR_DEGe,0
NEULACNTTR_SIASEe,0
FUCNEULACNHX_DEGe,0
2FUCLAC_FUCASEe,0
LACDFUCTTR_FUCASEe,0
LACNDFUCHX_FUCASEe,0
LACNFUCPT_FUCASEe,0
3FUCLAC_FUCASEe,0
MI1PP,0
MI1PS,0
MI3PP,0
MI4PP,0
LIPOS,0
OCTNLL,0
LIPAMPL,0
LIPOCT,0
HEPTA1,0
KDOPP,0
S7PIr,0
KDOPS,0
U23GAAT_BT,0
LPADSS_BT,0
TDSK_BT,0
USHD_BT,0
UAGAAT,0
AGMHE,0
MOAT_BT,0
EDTXS1_BT,0
TDSP_BT,0
KDOCT2,0
GMHEPPA,0
UAGAAT_HP,0
GMHEPAT,0
GMHEPK,0
LPSSYN_BT,0
RFA_BT,0
RFAC_HP,0
U2GAAT_BT,0
U2GAAT2_BT,0
UHGADA_HP,0
AHCYSNS_r,0
METAT,1
AHC,0
HSST,1
AHSERL2,0
METSOXR1,0
METS,1
HCYSMT,0
AHSERL3,0
SHSL2r,1
METOX1s,0
EX_cyst__L_e,0
NADK,1
NADK2,0
NNATr,1
PNP,0
NNDPR,1
NADS2,0
NP1_r,0
NTD5_a,0
NT5C,0
A_MANASEe,0
B_MANNASEe,0
FUCASEe,0
AMANNANASEe,0
SIAASEe,0
GALASE1e,0
AHEXASE2e,0
AHEXASE3e,0
AHEXASEe,0
NTRIR5,0
NTPP10,0
NTPP11,0
DTMPK,1
NTD1,0
RNTR1,4
RNTR2,4
RNTR3,0
RNTR4,4
DURIPP,0
ADK2,1
GUAPRT,0
HXPRT,0
DUTPDP,0
NTP1,0
NTPP1,0
NTPP2,0
NTPP9,0
NTD10,0
NTD2,0
NTD3,0
NTD5,0
NTD6,0
NTD8,0
NTD9,0
NDPK2,1
NDPK3,1
NDPK9,0
NTPTP1,0
ADPT,0
GNNUC,0
INSH,0
XTSNH,0
UPPRT,0
DADK,0
CYTDK1,0
TMDK1,0
URIDK2r,2
CYTK1,1
TMDS,1
DGK1,0
PUNP1,0
PUNP4,0
PUNP5,0
PUNP7,0
DCYTD,0
23PDE2,0
23PDE4,0
23PDE9,0
AMPN,0
CYTDK2,0
URIK1,0
CYTDK4,0
ADK1,1
NTPP8,0
DCMPDA,2
NTD11,0
NTD4,0
NTD7,0
NDPK1,1
NDPK4,1
NDPK5,4
NDPK6,5
NDPK7,1
NDPK8,4
URIK2,0
DURIK1,0
URIDK1,1
CYTDK3,0
GK1,1
GK2,0
PUNP2,0
PUNP3,0
PUNP6,0
CYTD,0
23PDE7,0
XPPT,0
CYTK2,1
URIK3,0
GALASE_OGLYCAN1e,0
GALASE_OGLYCAN2e,0
GALASE_OGLYCAN3e,0
GLCNACASE_OGLYCAN1e,0
GLCNACASE_OGLYCAN2e,0
GLCNACASE_OGLYCAN3e,0
GLCNACASE_OGLYCAN4e,0
GLCNACASE_OGLYCAN5e,0
GLCNACASE_OGLYCAN6e,0
SIAASE_OGLYCAN1e,0
SIAASE_OGLYCAN2e,0
SIAASE_OGLYCAN3e,0
GALNACASE_OGLYCAN1e,0
GALNACASE_OGLYCAN2e,0
GALNACASE_OGLYCAN3e,0
UDPGLCURE,0
XYLK,0
DGC3D,0
KDUI,0
DDGLKr,0
RBK_D,0
DGC3D2,0
UDPGDr,0
RBK,0
GND,1
G6PBDH,0
G6PDH2r,1
PFK_3,4
DRBKr,0
FBA3,4
RPE,1
TALA,4
PGL,1
PRPPS,1
RPI,2
EDA_R,0
TKT1,1
TKT2,0
ALAGLN1c,0
ALAGLU1c,0
ALAGLY1c,0
ALAHIS1c,0
ALALEU1c,0
ALATHR1c,0
GLYASN1c,0
GLYASP1c,0
GLYGLN1c,0
GLYGLU1c,0
GLYGLYHyi,0
GLYLEUHYDROc,0
GLYMET1c,0
GLYPHEHYi,0
GLYTYR1c,0
LEUGLY1c,0
LEULEU1c,0
METALA1c,0
GLYLEUHYDROe,0
LEUGLYLAPe,0
LEULEULAPe,0
ARGARG1c,0
PHEARG1c,0
AMPTASECG,0
AMPTASEPG,0
ALAASP1c,0
AMPTASEPGe,0
GLYPROPRO1e,0
GLYPROPRO1c,0
ALAALADe,0
AMY1e,0
MLTG1,0
MLTG2,0
MLTG3,0
MLTG4,0
MLTG5,4
PULLe,0
AMYLe,0
HOMOGALASEe,0
OGALURLe,0
PECTIN_DEG2e,0
MANA1e,0
MANA2e,0
MANA3e,0
MANA4e,0
O16G2e,0
GALS3,0
RAFGH,0
MALT,0
INULINASEe,0
KESTOASEe,0
KESTOPTASEe,0
KESTOTTRASEe,0
LEVANASE_2e,0
LEVANASE_3e,0
LEVANASE_4e,0
OLIGOFRUASEe,0
LMN2e,0
LMNe,0
FRUASE3,0
RAFH,0
DEXTRAN40e,0
PECTIN_DEGe,0
AMYe,0
MLTG4e,0
MLTG5e,0
ARABASE3e,0
ARABINANASEe,0
PECTICGALASEe,0
MALTe,0
MLTG1e,0
MLTG2e,0
MLTG3e,0
MANA4,0
STYSGH,0
LEVANASE_1e,0
RHAMNOGALURASEe_II,0
RHAMNOGALURASEe_I,0
ARABINOGALASEe,0
LEVANB_ABC,0
SUCR,4
GLUPRT,1
PRASCSi,1
YUMPS,0
PRAGS,1
AIRC2,0
AIRC3,0
GMPS2,1
ADSS,1
PRFGS,1
DHORDfum,0
GART,1
CTPS1,1
CTPS2,0
CBPS,1
ADSL2r,1
IMPC,2
GARFTi,0
AIRCr,1
PRAI,1
PRAIS,1
OMPDC,1
ADSL1r,1
IMPD,1
AICART,1
ORPT,2
ASPCT,1
DHORTS,2
THIORDXi,0
CAT,0
CCP,0
SPODM,0
NARK,0
SPMDAT1,0
SPMDAT2,0
NCPTRCA,0
CSPMDDH,0
CSPMDDC,0
CHLPCTD,1
